meta_analysis,file_name,es_index,metric,yi,sei,vi,meta_k,meta_metric,meta_avgES,meta_medSE,meta_I_sq,meta_FE_est,meta_RE_est,meta_WLS_est,meta_WW_est,meta_PP_est,meta_pow_WL,meta_pow_PP,meta_pow_WW,is_adequately_powered_WLS,is_adequately_powered_PP,is_adequately_powered_WW,power_individual
Balliet68,Balliet68.dta,22,d,-0.05,0.10204081632653061,0.010412328196584757,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.07078087699168556
Balliet68,Balliet68.dta,23,d,0.08,0.10204081632653061,0.010412328196584757,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.11979743802892862
Balliet68,Balliet68.dta,24,d,0.27,0.10714285714285712,0.01147959183673469,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.7122602811509731
Balliet68,Balliet68.dta,25,d,0.33,0.10714285714285715,0.011479591836734696,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.8686431189572693
Balliet68,Balliet68.dta,26,d,-0.01,0.10714285714285715,0.011479591836734696,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.0309740757067406
Balliet68,Balliet68.dta,27,d,0.19,0.10714285714285715,0.011479591836734696,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.4259609964097377
Balliet68,Balliet68.dta,28,d,0.19,0.11224489795918366,0.012598917117867552,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.39462959183309265
Balliet68,Balliet68.dta,29,d,0.55,0.11224489795918366,0.012598917117867552,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.998358938765843
Balliet68,Balliet68.dta,30,d,0.24,0.11224489795918369,0.012598917117867559,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.5707099058895753
Balliet68,Balliet68.dta,31,d,0.1,0.11734693877551021,0.013770304039983342,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.1339684657556468
Balliet68,Balliet68.dta,32,d,0.28,0.12244897959183673,0.014993752603082049,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.6280399927976319
Balliet68,Balliet68.dta,33,d,0.39,0.12755102040816327,0.016269262807163683,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.8638104035682301
Balliet68,Balliet68.dta,34,d,-0.18,0.12755102040816327,0.016269262807163683,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.2915713551512017
Balliet68,Balliet68.dta,35,d,0,0.12755102040816327,0.016269262807163683,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.024997895148220373
Balliet68,Balliet68.dta,36,d,0.18,0.12755102040816327,0.016269262807163683,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.2915713551512017
Balliet68,Balliet68.dta,37,d,0.26,0.12755102040816327,0.016269262807163683,164,d,0.3003658536585366,0.21428571428571425,0,0.25854407401894414,0.2878238449438188,0.25854407401894397,0.259190372986096,0.23676884181452534,0.22558647295492218,0.19625377967809632,0.2264933908409703,FALSE,FALSE,FALSE,0.5312450632337589
